row_index,text,given_label_raw
39,就算是男女朋友那又怎么了？地域黑吗,None
102,没有后面一群穷兄弟支援哪来的资本，吃饱饭就开始摔碗了?,None
52,你这么说八百算什么，我奶奶在重庆被偷了五千，我该把重庆骂个遍？,None
82,女性到底应不应该有权利呢？,Possible
61,支持还有推荐这个视频，韩国女权崩塌的魔幻史，真是用魔法打败魔法，时代的魔怔：韩国女权到底有多可怕？,Possible
16,当时被北方同学问“江西在中国？”我“？？？”,Possible
79,你怎么知道那就是女大学生？难道五角场只有女大学生能去？,Possible
12,不是说在意的只是态度吗？这态度不是有了吗？为啥还被骂？,None
51,打个比方 你有一个好兄弟，他看上了一个j女，大家都知道这不行啊，作为好朋友，你义正言辞的出来苦口婆心的教育他，劝他，可他不仅不听你的，还觉得你是嫉妒他找到了真爱，你怎么办？,Possible
17,你怎么确定他们就一定会优先选择代孕这种违法手段呢？难道相比代孕这种违法手段？领养不是更好吗？,None
4,一群内斗的??在划分地域 来互相攻击,Possible
108,这三观能这么不正吗？花了两个月的时间获取信任，要对方辞职过来找他，还洋洋得意,None
55,这件事大家抨击的是动画片，怎么变成南方北方了？谁在这挑拨离间呢？,None
37,啥，东北也内斗？🤣,None
48,笑死，你不支持尊重可以做到吗？,None
84,上海需要黑吗？,Possible
42,是抖音那个叫女明星的么？,None
62,你不觉得他是在黑我们吗？,None
29,三四十万是卖女儿吗？,None
38,为什么不能?就这么喜欢政治正确?,None
8,我不了解卫辉怎么黑山东的，你介绍一下，或给个网址如何？,None
6,图灵还要什么争议？帮助祖国和世界战胜了法西斯，然后却被自己的祖国迫害，悲剧自杀，图灵是反同碰不得的,None
81,为什么我要支持？你又你喜欢的权利 我也有反感的自由,None
98,可你在别的回答里是男的啊，敢问您现在到底是男是女啊？,None
1,看新闻谁说华东理工大学的学生没有出声了？,None
87,真的换来我们站起来了吗？我咋被996压弯了腰？,None
77,你圈子里没有就代表没有？,None
47,178算矮？楼主哪个省的？,None
97,？什么情况，答主不是男的吗？,None
74,这可是转贴P圈，你们这造谣真是大胆，你不怕被拉去黑屋治疗吗？,None
