row_index,text,given_label_raw
163,广东那个应该不算黑？或者是我没经历过那个时代吗😅,Potentially
165,难道犯罪率不是社会状况的重要参考标准吗？,None
177,因为性别比例失调啊，有什么不能理解吗？,None
185,女权：我成替身了？,Potentially
132,问题不是男的可以自己生，还要结婚吗？,Potentially
140,女的看得上药娘？她又不是女同……,Potentially
172,黑龙江最穷？我一直的感官是东三省吉林最穷,Potentially
187,贬低自己国家有什么意思？,None
156,看不起你了？,None
111,硬碰硬？？？？国家的刑法了解下，最好做个遵纪守法的公民,None
139,清朝吗？男女都不该带吧，虽然说一开始发明是男性为了限制女性，但是时代变了,Potentially
164,嫁鸡随鸡 嫁狗随狗？无语,None
131,可是他们一样也是反华的，既然是反华的，他们的做法我们就必须抵制明白吗？,None
202,感染美女吗？,None
124,奥运会都和最好的比，怎么其他的和最好的比就是屁股歪了？😲,None
194,婚纱不都是女方自己买吗？男方买西装？怎么这也能怪男方？,Potentially
179,笑死我们国家不是以社会主义？不是以共产主义为目标？到你这就变成不需要民主自由平等了哈？,Potentially
174,回族都信教吗？，为什么没有吃肥肉的回民,Potentially
175,我只是支持你的观点而已，你能不能好好理解我的意思，难道你就没感觉出来我是倾向于你这边的吗？,None
148,这什么表姐？老想着教育表妹，娘味说教差不多得了,None
186,莫言那是小说 还有莫言歌颂的日本军医你也认同？,Potentially
137,钱少就态度不行？,None
128,且不说台资“声名远扬”，你把我台湾岛仅次于半导体的第二大无烟工业放在哪里？,Potentially
121,你爷爷分家，你爸留在本地开公司，你叔去外地开门店，到了你这辈你说你是你堂弟的爷爷？,None
150,做工赚钱就是打工，难道援建不给工钱？⁉,None
211,？？怀孕期间不得离婚是国家和法律给的保障，咋叫没保障呢？,None
118,假土豪怎么说？完全没咋听过？,None
188,所以美国等于全世界？,Potentially
113,就这？男方父母出资买房然后把房子给儿子儿媳住但是房子是租给儿子的要付房租的只不过没问儿子要罢了万一离婚了直接索要十年房租这不就解决问题了？以后大家都这么干就完事了,None
157,醉酒妇女在哪里呢？我没看到,None
