row_index,text,given_label_raw
225,跟那些宣传日军扶老太太过马路的有什么区别？,Potentially
226,女生要求高唉?,None
405,日本民族南迁江苏大融合😢被侵略了就用大融合自我安慰，和汪精卫有什么区别？,Potentially
395,男性应该打HPV疫苗吗？,None
1552,是类似现代这种家政服务的雇佣关系，还是黑人奴隶的交易？,Potentially
295,有些男的不也这样？这很正常啊,None
417,安徽咋又莫名其妙的自称自己是被黑的重灾区了？网上没见到过啊？是因为六六给安徽招黑的吗？,Potentially
1848,那女性判什么刑？,None
253,你再说一遍？江浙沪被黑？,None
398,不是吧，你北京打工除了买不起房难道不让你看病了？,None
1723,未婚人士如何做到，30，岁以后的生活不可悲？,Potentially
2053,你脱单了？哪个男的遇到你也是倒霉,Potentially
422,汉奸的事能提倡？鄙视就完了,None
276,这玩意不是男生戴锁比较多吗？,None
457,所以上海是穷山恶水？？？？,None
898,这算强奸吗？若女孩子和一个男孩子接触后，她同意到他家里，然后他摸 ,None
431,喜欢中国的国家，比较富的有哪些啊？,None
