row_index,text,given_label_raw
154,真的一上知乎全都是骂的，从女权骂到了女性，然而在现实生活中根本见不着，是我层次太低？,Potentially
53,别说你们男的了，我一个女的都觉得恶心，非常恶心，我小时候看印度还是泰国电影大概情节有个女的身上溜过一天蟒蛇不久怀孕了小时候不懂长大记起来了懂了，那个蛇还是个啥神灵化身来着，小时候觉得可怕（谁睡觉身上溜过一天蛇谁不怕？)现在想起来只觉得恶心，跟黑色，比那个大蟒蛇溜过旁边还恶心,Potentially
251,说自己家乡话哪来的秀优越感？这是自卑心理作怪的结果,Potentially
162,这个作者一口一个中国女性，他只是在说女权?,Potentially
378,女性的名声是谁败坏的你心里没数？,Potentially
383,跟国内这群女权比一下，这个还不真吗？囧,Potentially
54,回族不算被黑的吧？毕竟除了关外，回族在哪儿都挺强势的，唐山条约我还记得呢,Potentially
272,既然你都用泛滥这词，就不用对女性有期望，重拳出?,Potentially
169,批评女权＝批评女性？什么观点,Potentially
284,日韩女权已经用事实证明过了的东西，还需要相信他们的理论？,Potentially
101,到处都是反串，被吓坏了，?也不知是身在敌营还是友营，怀疑男性阵营的存在是不是一种骗局，实质上都是敌方势力在挂着羊头卖狗肉,Potentially
21,盲目移民很正常？欧洲都深受其害，禁止移民难民,Potentially
1231,男人做爱后会洗JJ吗? ,None
229,女权怼了女拳？这事儿女拳知道吗？🤔,Potentially
14,尬黑，意思是韩女正常哺乳都不行吗？,Potentially
195,汉族的祖先不是主要在山西吗？而且河南很多都是山西迁徙过去的后代,Potentially
1695,腾讯真想搞周，跑香港不是送命？跑路超人和马什么关系你知道？,Potentially
274,韩国女权只想守住自己，阿富汗极端主义能打到韩国去吗？,Potentially
60,看一个诈骗小品故意用河南口音，很难受??,Potentially
1108,“北京人”是怎样被发现的? ,None
204,在中国动手你想坐牢？,Potentially
